uri,label_zh,label_en,label_es,label_fr,broader_links
http://aims.fao.org/aos/agrovoc/c_16077,骆驼奶,camel milk,Leche de camella,lait de chamelle,0
http://aims.fao.org/aos/agrovoc/c_16080,牛乳,cow milk,Leche de vaca,lait de vache,0
http://aims.fao.org/aos/agrovoc/c_16081,绵羊奶,ewe milk,Leche de oveja,lait de brebis,0
http://aims.fao.org/aos/agrovoc/c_16083,山羊奶,goat milk,Leche de cabra,lait de chèvre,0
http://aims.fao.org/aos/agrovoc/c_16085,人乳,human milk,Leche humana,lait humain,0
http://aims.fao.org/aos/agrovoc/c_16087,马奶,mare milk,Leche de yegua,lait de jument,0
http://aims.fao.org/aos/agrovoc/c_24225,原料乳,raw milk,Leche cruda,lait cru,0
http://aims.fao.org/aos/agrovoc/c_12215,畜产品,livestock products,Producto pecuario,produit d'élevage,0
http://aims.fao.org/aos/agrovoc/c_15903,鱼,fish,Pescado,poisson (aliment),0
http://aims.fao.org/aos/agrovoc/c_16373,象牙,ivory,Marfil,ivoire,0
http://aims.fao.org/aos/agrovoc/c_36538,茧,cocoons,Capullo,cocon,0
http://aims.fao.org/aos/agrovoc/c_1172,副产品,by-products,Subproducto,sous-produit,0
http://aims.fao.org/aos/agrovoc/c_7,屠宰场副产品,abattoir by-products,Subproducto del matadero,sous-produit d'abattage,0
http://aims.fao.org/aos/agrovoc/c_4671,肉副产品,meat by-products,Subproducto de la carne,sous-produit de la viande,0
http://aims.fao.org/aos/agrovoc/c_35866,骨粉饲料,animal meals,Harina animal,farine animale,0
http://aims.fao.org/aos/agrovoc/c_3609,生皮,hides and skins,Cuero y piel,cuirs et peaux,0
http://aims.fao.org/aos/agrovoc/c_28265,肠衣,casings,Tripa,boyau,0
http://aims.fao.org/aos/agrovoc/c_776,甘蔗渣,bagasse,Bagazo,bagasse,0
http://aims.fao.org/aos/agrovoc/c_1086,酿造副产品,brewery by-products,Subproducto de cervecería,sous-produit de brasserie,0
http://aims.fao.org/aos/agrovoc/c_2843,饲料,feeds,Pienso,aliment pour animaux,0
http://aims.fao.org/aos/agrovoc/c_1085,啤酒糟,brewers grains,Orujo de cervecería,drêche de brasserie,0
http://aims.fao.org/aos/agrovoc/c_1471,谷类副产品,cereal by-products,Subproducto de cereales,sous-produit de céréales,0
http://aims.fao.org/aos/agrovoc/c_1473,粮食制品,cereal products,Producto derivado de cereales,produit céréalier,0
http://aims.fao.org/aos/agrovoc/c_4841,磨粉副产品,milling by-products,Subproducto de la molinería,sous-produit de meunerie,0
http://aims.fao.org/aos/agrovoc/c_3349,谷物饲料,grain feed,Grano pienso,fourrage grain,0
http://aims.fao.org/aos/agrovoc/c_1056,麸皮,bran,Salvado,son,0
http://aims.fao.org/aos/agrovoc/c_28386,膳食纤维,dietary fibres,Fibra de la dieta,fibre alimentaire,0
http://aims.fao.org/aos/agrovoc/c_1491,粗糠,chaff,Granza,balle,0
http://aims.fao.org/aos/agrovoc/c_4818,粗粉,middlings,Moyuelo,remoulages,0
http://aims.fao.org/aos/agrovoc/c_16171,玉米芯粉,corn cob mix,Mazorca de maíz molturada,maïs grain raflé mélangés,0
http://aims.fao.org/aos/agrovoc/c_24892,谷壳,rice husks,Cascarilla de arroz,balle de riz,0
http://aims.fao.org/aos/agrovoc/c_32539,稻米磨光,rice polishings,Harinaza de arroz,polissure de riz,0
http://aims.fao.org/aos/agrovoc/c_7551,杂碎,sweetbreads,Molleja,ris,0
